time(days),prey(ind/m3),predator(ind/m3)
8.481696339267853091e+01,9.997890557965119740e+01,1.421806041630395943e-02
8.491698339667934192e+01,9.997905668661998391e+01,1.411622093729223218e-02
8.501700340068013872e+01,9.997920671042636798e+01,1.401511132429649614e-02
8.511702340468093553e+01,9.997935565884688458e+01,1.391472633975866617e-02
8.521704340868173233e+01,9.997950353960177949e+01,1.381506078423732492e-02
8.531706341268254334e+01,9.997965036035635933e+01,1.371610949496430802e-02
8.541708341668334015e+01,9.997979612871702670e+01,1.361786734764066850e-02
8.551710342068413695e+01,9.997994085223291449e+01,1.352032925663655683e-02
8.561712342468493375e+01,9.998008453840067489e+01,1.342349017178645111e-02
8.571714342868574477e+01,9.998022719466462149e+01,1.332734507837640345e-02
8.581716343268654157e+01,9.998036882841662987e+01,1.323188899714408846e-02
8.591718343668733837e+01,9.998050944699622278e+01,1.313711698427872179e-02
8.601720344068813517e+01,9.998064905769048494e+01,1.304302413142111559e-02
8.611722344468893198e+01,9.998078766773413406e+01,1.294960556566366640e-02
8.621724344868974299e+01,9.998092528430946402e+01,1.285685644955034124e-02
8.631726345269053979e+01,9.998106191454776592e+01,1.276477197973019048e-02
8.641728345669133660e+01,9.998119756552557647e+01,1.267334738864475674e-02
8.651730346069213340e+01,9.998133224426619847e+01,1.258257794469072079e-02
8.661732346469294441e+01,9.998146595774416312e+01,1.249245894925031519e-02
8.671734346869374122e+01,9.998159871288524414e+01,1.240298573668015616e-02
8.681736347269453802e+01,9.998173051656648624e+01,1.231415367431115508e-02
8.691738347669533482e+01,9.998186137561614828e+01,1.222595816244858614e-02
8.701740348069614583e+01,9.998199129681377428e+01,1.213839463437204648e-02
8.711742348469694264e+01,9.998212028689016506e+01,1.205145855633551512e-02
8.721744348869773944e+01,9.998224835252733556e+01,1.196514542756727147e-02
8.731746349269853624e+01,9.998237550035990751e+01,1.187945077901365193e-02
8.741748349669934726e+01,9.998250173697165621e+01,1.179437017492451431e-02
8.751750350070014406e+01,9.998262706889687479e+01,1.170989921298281992e-02
8.761752350470094086e+01,9.998275150262442423e+01,1.162603352155286950e-02
8.771754350870173766e+01,9.998287504459787556e+01,1.154276875967047422e-02
8.781756351270253447e+01,9.998299770121539609e+01,1.146010061704293669e-02
8.791758351670334548e+01,9.998311947882980633e+01,1.137802481404904219e-02
8.801760352070414228e+01,9.998324038374860834e+01,1.129653710173910905e-02
8.811762352470493909e+01,9.998336042223390052e+01,1.121563326183491228e-02
8.821764352870573589e+01,9.998347960050247707e+01,1.113530910672973391e-02
8.831766353270654690e+01,9.998359792472696483e+01,1.105556047831612182e-02
8.841768353670734371e+01,9.998371540103289590e+01,1.097638324947550377e-02
8.851770354070814051e+01,9.998383203549967391e+01,1.089777332417847001e-02
8.861772354470893731e+01,9.998394783416452469e+01,1.081972663493490673e-02
8.871774354870974832e+01,9.998406280302243943e+01,1.074223914278527731e-02
8.881776355271054513e+01,9.998417694802625988e+01,1.066530683730067264e-02
8.891778355671134193e+01,9.998429027508660738e+01,1.058892573658274348e-02
8.901780356071213873e+01,9.998440279007188281e+01,1.051309188726374730e-02
8.911782356471294975e+01,9.998451449880830921e+01,1.043780136450652395e-02
8.921784356871374655e+01,9.998462540707993185e+01,1.036305027200453213e-02
8.931786357271454335e+01,9.998473552062976921e+01,1.028883474088794839e-02
8.941788357671534015e+01,9.998484484515702775e+01,1.021515093112304942e-02
8.951790358071615117e+01,9.998495338631806817e+01,1.014199503158685553e-02
8.961792358471694797e+01,9.998506114973000081e+01,1.006936325770413886e-02
8.971794358871774477e+01,9.998516814097064298e+01,9.997251851439742029e-03
8.981796359271854158e+01,9.998527436557857584e+01,9.925657081298611129e-03
8.991798359671933838e+01,9.998537982905308752e+01,9.854575242325795681e-03
9.001800360072014939e+01,9.998548453685424420e+01,9.784002656106436518e-03
9.011802360472094620e+01,9.998558849440280483e+01,9.713935670765798738e-03
9.021804360872174300e+01,9.998569170708032061e+01,9.644370660969219661e-03
9.031806361272253980e+01,9.998579418023015819e+01,9.575304026901336821e-03
9.041808361672335081e+01,9.998589591915505537e+01,9.506732195580600703e-03
9.051810362072414762e+01,9.998599692911783166e+01,9.438651620911385834e-03
9.061812362472494442e+01,9.998609721534481309e+01,9.371058781494034234e-03
9.071814362872574122e+01,9.998619678302578961e+01,9.303950180618213162e-03
9.081816363272655224e+01,9.998629563731400083e+01,9.237322346262896028e-03
9.091818363672734904e+01,9.998639378332616445e+01,9.171171831096404034e-03
9.101820364072814584e+01,9.998649122614247631e+01,9.105495212476341985e-03
9.111822364472894265e+01,9.998658797080658189e+01,9.040289092449639921e-03
9.121824364872975366e+01,9.998668402232560481e+01,8.975550097752537509e-03
9.131826365273055046e+01,9.998677938567124102e+01,8.911274878857913806e-03
9.141828365673134726e+01,9.998687406577735715e+01,8.847460111209985364e-03
9.151830366073214407e+01,9.998696806754074373e+01,8.784102495256669238e-03
9.161832366473294087e+01,9.998706139582424157e+01,8.721198754420046717e-03
9.171834366873375188e+01,9.998715405545662804e+01,8.658745635090517312e-03
9.181836367273454869e+01,9.998724605123274500e+01,8.596739906626835181e-03
9.191838367673534549e+01,9.998733738791342773e+01,8.535178361356048418e-03
9.201840368073614229e+01,9.998742807022551915e+01,8.474057814573544151e-03
9.211842368473695331e+01,9.998751810286188402e+01,8.413375104543024258e-03
9.221844368873775011e+01,9.998760749048136631e+01,8.353127092496540063e-03
9.231846369273854691e+01,9.998769623770988346e+01,8.293310661745243589e-03
9.241848369673934371e+01,9.998778434913820945e+01,8.233922718839169902e-03
9.251850370074015473e+01,9.998787182932262851e+01,8.174960193582301443e-03
9.261852370474095153e+01,9.998795868278781995e+01,8.116420037151676758e-03
9.271854370874174833e+01,9.998804491402680128e+01,8.058299222092234898e-03
9.281856371274254514e+01,9.998813052750099928e+01,8.000594742316857050e-03
9.291858371674335615e+01,9.998821552764017895e+01,7.943303613106337049e-03
9.301860372074415295e+01,9.998829991884250035e+01,7.886422871109428218e-03
9.311862372474494975e+01,9.998838370547447596e+01,7.829949574342784380e-03
9.321864372874574656e+01,9.998846689187101333e+01,7.773880802190994560e-03
9.331866373274654336e+01,9.998854948233638140e+01,7.718213654576597596e-03
9.341868373674735437e+01,9.998863148114214994e+01,7.662945253049302866e-03
9.351870374074815118e+01,9.998871289252787165e+01,7.608072740786130800e-03
9.361872374474894798e+01,9.998879372070362592e+01,7.553593280848110332e-03
9.371874374874974478e+01,9.998887396985010412e+01,7.499504056175871833e-03
9.381876375275055580e+01,9.998895364411855269e+01,7.445802269589624559e-03
9.391878375675135260e+01,9.998903274763075899e+01,7.392485143789194815e-03
9.401880376075214940e+01,9.998911128447912233e+01,7.339549921353972183e-03
9.411882376475294620e+01,9.998918925872658292e+01,7.286993864742947677e-03
9.421884376875375722e+01,9.998926667440667870e+01,7.234814256294692936e-03
9.431886377275455402e+01,9.998934353552442644e+01,7.183008397452637049e-03
9.441888377675535082e+01,9.998941984605451694e+01,7.131573609787984422e-03
9.451890378075614763e+01,9.998949560994178398e+01,7.080507234986871748e-03
9.461892378475695864e+01,9.998957083110370547e+01,7.029806633234687331e-03
9.471894378875775544e+01,9.998964551343034657e+01,6.979469183212231274e-03
9.481896379275855224e+01,9.998971966078441653e+01,6.929492282095677316e-03
9.491898379675934905e+01,9.998979327700122610e+01,6.879873345556594515e-03
9.501900380076016006e+01,9.998986636588870169e+01,6.830609807761939441e-03
9.511902380476095686e+01,9.998993893122737120e+01,6.781699121374079597e-03
9.521904380876175367e+01,9.999001097677040661e+01,6.733138757550755256e-03
9.531906381276255047e+01,9.999008250624446248e+01,6.684926205221867167e-03
9.541908381676334727e+01,9.999015352334799900e+01,6.637058972050125655e-03
9.551910382076415829e+01,9.999022403175169416e+01,6.589534584407018628e-03
9.561912382476495509e+01,9.999029403510077429e+01,6.542350585875392199e-03
9.571914382876575189e+01,9.999036353701498570e+01,6.495504537246057572e-03
9.581916383276654869e+01,9.999043254108858036e+01,6.448994016517814454e-03
9.591918383676735971e+01,9.999050105089033025e+01,6.402816618897439783e-03
9.601920384076815651e+01,9.999056906996352723e+01,6.356969956799713752e-03
9.611922384476895331e+01,9.999063660182599733e+01,6.311451659847380768e-03
9.621924384876975012e+01,9.999070364997004390e+01,6.266259374871173751e-03
9.631926385277056113e+01,9.999077021786337127e+01,6.221390765234629389e-03
9.641928385677135793e+01,9.999083630894743635e+01,6.176843511736195523e-03
9.651930386077215474e+01,9.999090192663787491e+01,6.132615312575639098e-03
9.661932386477295154e+01,9.999096707432661901e+01,6.088703881966178039e-03
9.671934386877376255e+01,9.999103175538192545e+01,6.045106950131568652e-03
9.681936387277455935e+01,9.999109597314827624e+01,6.001822263306126441e-03
9.691938387677535616e+01,9.999115973094650656e+01,5.958847583734692283e-03
9.701940388077615296e+01,9.999122303207367679e+01,5.916180689672653238e-03
9.711942388477694976e+01,9.999128587980318628e+01,5.873819375385939956e-03
9.721944388877776078e+01,9.999134827738468800e+01,5.831761451151019730e-03
9.731946389277855758e+01,9.999141022804496970e+01,5.790004742624582125e-03
9.741948389677935438e+01,9.999147173498634800e+01,5.748547091690549803e-03
9.751950390078015118e+01,9.999153280138719424e+01,5.707386356418448631e-03
9.761952390478096220e+01,9.999159343040381032e+01,5.666520409777040836e-03
9.771954390878175900e+01,9.999165362517042865e+01,5.625947139631839143e-03
9.781956391278255580e+01,9.999171338879918380e+01,5.585664448745073819e-03
9.791958391678335261e+01,9.999177272438019770e+01,5.545670254775712620e-03
9.801960392078416362e+01,9.999183163498150861e+01,5.505962490279454717e-03
9.811962392478496042e+01,9.999189012364908535e+01,5.466539102708747183e-03
9.821964392878575723e+01,9.999194819340681306e+01,5.427398054412755496e-03
9.831966393278655403e+01,9.999200584725731744e+01,5.388537322048885490e-03
9.841968393678736504e+01,9.999206308818047262e+01,5.349954897378085550e-03
9.851970394078816184e+01,9.999211991913388431e+01,5.311648787216413127e-03
9.861972394478895865e+01,9.999217634305458091e+01,5.273617012242744553e-03
9.871974394878975545e+01,9.999223236285911298e+01,5.235857606996637860e-03
9.881976395279055225e+01,9.999228798144345376e+01,5.198368619878325839e-03
9.891978395679136327e+01,9.999234320168305601e+01,5.161148113148713440e-03
9.901980396079216007e+01,9.999239802643283781e+01,5.124194162929395988e-03
9.911982396479295687e+01,9.999245245852719677e+01,5.087504859202629688e-03
9.921984396879375367e+01,9.999250650077998159e+01,5.051078305811350713e-03
9.931986397279456469e+01,9.999256015598524527e+01,5.014912619909711079e-03
9.941988397679536149e+01,9.999261342691592347e+01,4.979005932709792102e-03
9.951990398079615829e+01,9.999266631632416136e+01,4.943356389427465414e-03
9.961992398479695510e+01,9.999271882694306157e+01,4.907962148177366299e-03
9.971994398879776611e+01,9.999277096148657051e+01,4.872821379971029737e-03
9.981996399279856291e+01,9.999282272264954941e+01,4.837932268716910351e-03
9.991998399679935972e+01,9.999287411310773166e+01,4.803293011220353785e-03
1.000200040008001565e+02,9.999292513551776551e+01,4.768901817183618386e-03
1.001200240048009675e+02,9.999297579251718560e+01,4.734756909205859593e-03
1.002200440088017643e+02,9.999302608672442716e+01,4.700856522783155959e-03
1.003200640128025611e+02,9.999307602073946555e+01,4.667198905795451672e-03
1.004200840168033579e+02,9.999312559714269355e+01,4.633782319207595604e-03
1.005201040208041690e+02,9.999317481849514877e+01,4.600605037010576694e-03
1.006201240248049658e+02,9.999322368734011945e+01,4.567665345197330189e-03
1.007201440288057626e+02,9.999327220620308765e+01,4.534961541761125224e-03
1.008201640328065594e+02,9.999332037759177183e+01,4.502491936695584770e-03
1.009201840368073562e+02,9.999336820399609849e+01,4.470254851994679562e-03
1.010202040408081672e+02,9.999341568788824475e+01,4.438248621652724629e-03
1.011202240448089640e+02,9.999346283172256733e+01,4.406471591664396642e-03
1.012202440488097608e+02,9.999350963793565938e+01,4.374922120024705291e-03
1.013202640528105576e+02,9.999355610894698998e+01,4.343598576249993633e-03
1.014202840568113686e+02,9.999360224715772461e+01,4.312499342036025390e-03
1.015203040608121654e+02,9.999364805495112307e+01,4.281622811195504551e-03
1.016203240648129622e+02,9.999369353469384691e+01,4.250967388708759218e-03
1.017203440688137590e+02,9.999373868873604465e+01,4.220531490722414548e-03
1.018203640728145700e+02,9.999378351941129495e+01,4.190313544549382346e-03
1.019203840768153668e+02,9.999382802903664924e+01,4.160311988668874070e-03
1.020204040808161636e+02,9.999387221991263175e+01,4.130525272726380884e-03
1.021204240848169604e+02,9.999391609432316841e+01,4.100951857533688405e-03
1.022204440888177714e+02,9.999395965453567214e+01,4.071590215068867161e-03
1.023204640928185682e+02,9.999400290280161130e+01,4.042438828029004498e-03
1.024204840968193650e+02,9.999404584135547225e+01,4.013496190447954359e-03
1.025205041008201619e+02,9.999408847241500098e+01,3.984760807630908716e-03
1.026205241048209587e+02,9.999413079818259575e+01,3.956231195274556231e-03
1.027205441088217697e+02,9.999417282084523606e+01,3.927905879465933003e-03
1.028205641128225665e+02,9.999421454257446840e+01,3.899783396682438182e-03
1.029205841168233633e+02,9.999425596552649154e+01,3.871862293791809677e-03
1.030206041208241601e+02,9.999429709184208548e+01,3.844141128052141077e-03
1.031206241248249711e+02,9.999433792364663987e+01,3.816618467111872106e-03
1.032206441288257679e+02,9.999437846305012556e+01,3.789292889009805970e-03
1.033206641328265647e+02,9.999441871214771993e+01,3.762162981757421337e-03
1.034206841368273615e+02,9.999445867301878366e+01,3.735227343918778690e-03
1.035207041408281725e+02,9.999449834772710233e+01,3.708484584542826208e-03
1.036207241448289693e+02,9.999453773832219383e+01,3.681933322347953966e-03
1.037207441488297661e+02,9.999457684683918046e+01,3.655572185721002107e-03
1.038207641528305629e+02,9.999461567529891681e+01,3.629399812717275589e-03
1.039207841568313739e+02,9.999465422570789030e+01,3.603414851060536810e-03
1.040208041608321707e+02,9.999469250005826382e+01,3.577615958143019487e-03
1.041208241648329675e+02,9.999473050032788990e+01,3.552001801025409140e-03
1.042208441688337643e+02,9.999476822848026814e+01,3.526571056436854368e-03
1.043208641728345611e+02,9.999480568646514200e+01,3.501322410384954172e-03
1.044208841768353722e+02,9.999484287621748990e+01,3.476254558700053472e-03
1.045209041808361690e+02,9.999487979965789464e+01,3.451366206965950870e-03
1.046209241848369658e+02,9.999491645869356660e+01,3.426656069764087882e-03
1.047209441888377626e+02,9.999495285521841481e+01,3.402122870672749655e-03
1.048209641928385736e+02,9.999498899111296168e+01,3.377765342267053696e-03
1.049209841968393704e+02,9.999502486824447089e+01,3.353582226118968085e-03
1.050210042008401672e+02,9.999506048846679107e+01,3.329572272797288058e-03
1.051210242048409640e+02,9.999509585362051212e+01,3.305734241867650317e-03
1.052210442088417750e+02,9.999513096553280889e+01,3.282066901892526957e-03
1.053210642128425718e+02,9.999516582601809489e+01,3.258569030067039792e-03
1.054210842168433686e+02,9.999520043687708437e+01,3.235239412729807792e-03
1.055211042208441654e+02,9.999523479989700547e+01,3.212076845292579762e-03
1.056211242248449764e+02,9.999526891685273711e+01,3.189080131539751266e-03
